y	age	boat_length	cooler
13	45	24.19	31.13
23	64	23.22	41.35
31	44	29.45	37.93
14	45	37.55	30.96
23	76	53.68	27.67
20	69	28.61	29.68
23	44	25.62	34.78
29	62	18.7	27.3
25	43	32.25	28.46
28	54	31.45	48.93
13	57	29.81	45.95
34	43	22.87	37.24
23	47	104.93	25.8
10	55	26.39	43.5
11	43	28.04	34.54
9	40	35.49	38.14
37	42	44.01	33.55
15	56	27.16	32.43
38	58	37.41	36.68
28	45	34.19	37.05
12	61	33.13	37.74
15	51	20.97	35.82
28	48	31	25.75
20	57	23.17	34.42
29	69	49.24	24.82
31	48	37.13	43.03
10	49	50.24	29.06
15	50	22.3	30.37
33	62	41.63	31.18
30	37	26.43	38.97
36	49	31.48	41.73
32	60	43.61	41.01
18	59	29.96	34.26
11	47	35.86	47.03
29	52	28.69	32.72
17	48	31.39	41.5
17	51	36.72	48.31
14	55	21.95	50.98
45	54	24.44	71.73
34	64	53.84	44.62
21	52	27.46	37.77
31	60	40.56	41.75
27	40	33.02	29.78
25	56	114.46	25.28
36	53	22.79	40.98
19	48	22.32	31.75
19	63	42.63	37.96
9	45	35.02	39.08
22	47	38.47	38.77
12	52	26.48	39.3
16	64	27.96	30.44
23	58	33.6	27.99
14	52	64.36	30.88
10	54	28.3	36.86
31	52	38.72	48.67
19	42	27.4	33.01
27	44	39.31	42.82
10	49	48.62	42.86
33	45	23.23	37.72
14	45	21.25	39.65
32	43	35.41	52.81
9	38	40.96	40.2
8	59	23.04	59.93
12	47	34.42	40.73
34	59	43.41	33.56
14	51	24.54	43.78
13	57	37.68	38.26
17	54	33.83	41.38
35	51	38.33	26.49
13	48	34.09	46.2
18	52	42.28	31.28
18	55	26.19	32.6
19	47	22.95	25.52
26	69	161.26	34.54
30	70	34.72	35.07
16	43	22.84	50.35
37	34	25.37	45.09
14	49	31.08	46.41
16	58	33.84	25.27
32	51	36.63	41.05
11	46	32.86	44.4
30	58	37.77	32.9
36	64	25.14	42.36
11	61	29.53	47.81
8	49	36.14	32.92
15	51	26.41	43.57
13	61	30.74	41.66
22	60	26.69	39.4
16	47	47.45	29.51
34	47	47.16	24.87
33	53	24.6	36.42
36	48	40.33	29.06
33	72	31.35	40.33
33	39	35.54	46.82
24	45	29.01	36.21
28	46	20.61	41.32
14	74	21.56	27.82
10	45	48.31	45.97
31	46	31.37	32.09
25	49	32.19	36.43
29	37	29.11	39.11
33	45	22.42	31.33
27	57	104.78	34.27
26	51	46.95	38.43
26	46	33.91	34.74
35	52	25.55	45
7	53	64.56	54.87
33	46	25.57	36.53
15	51	27.74	41.78
33	54	27.44	41.88
14	53	40.73	41.12
12	63	25.28	37.32
7	53	26.58	40.04
28	51	24.85	36.64
12	48	22.92	39.34
33	68	33.22	30.73
29	43	30.27	39.09
17	47	24.03	27.22
18	55	46.16	33.82
14	46	62.65	28.96
31	44	37.5	32.68
28	51	20.55	34.88
34	46	39.77	37.59
14	45	28.87	40.59
29	59	27.51	26.7
20	60	31.87	37.74
10	59	37.91	35.09
14	58	44.16	28.24
28	60	28.71	51.77
16	50	49.34	38.48
24	44	33.55	30.65
12	59	31.7	34.87
20	51	37.26	32.86
41	45	40.34	32.63
38	57	31.18	55.85
34	59	25.97	26.96
34	44	20.29	28.45
12	48	130.67	57.77
21	50	24.03	34.02
33	40	29.93	42.81
17	46	65.96	31.52
24	52	26.16	32.26
17	56	33.62	31.25
14	62	47.3	51.76
38	57	25.56	41.64
13	58	28.26	52.57
8	48	25.36	52.9
20	63	39.68	26.41
14	37	44.42	42.89
8	59	28.44	37.95
9	52	30.1	32.76
27	42	21.97	46.89
33	49	31.42	54.63
14	53	31.03	28.91
29	52	23.5	47.3
16	57	22.23	35.2
9	45	33	58.55
19	48	132.24	34.47
17	50	24.52	33.67
40	52	25.24	44.85
15	49	32.69	28.9
30	45	21.38	42.11
37	51	39.89	45.29
26	47	55.29	31.71
11	48	46.12	30.67
20	41	44.61	35.46
8	52	22.27	51.32
13	47	36.25	37.77
14	52	28.94	44.08
43	48	22.09	40.69
9	55	44.28	34.42
19	50	22.36	31.17
28	53	22.14	36.33
14	67	20.85	38.64
19	41	23.84	35.95
32	50	24.29	51.46
27	42	25.28	51.09
15	58	88.83	27.06
13	53	33.91	36.37
35	45	19.69	32.86
15	44	36.33	43.15
38	59	22.01	41.06
30	53	29.5	33.98
30	40	22.67	34.3
15	39	49.52	32.1
24	53	55.64	41.54
18	51	42.17	29.38
28	48	38.4	35.26
14	50	32.93	33.76
15	51	66.9	57.41
38	46	49.8	47.23
23	55	17.35	51.27
39	50	24.24	39.37
27	73	58.19	32.92
16	48	26.55	28.74
9	45	30.4	38.89
18	52	18.02	30.51
11	46	35.16	32.82
33	52	36.23	31.43
38	47	48.53	27.73
18	45	37.08	40.64
12	56	72.55	38.53
8	47	41.55	30.78
25	64	34.27	39.01
12	79	54.12	33.94
13	38	36.26	32.11
12	43	23.95	35.29
24	43	22.29	44.26
32	40	26.46	35.23
20	46	31.73	27.93
14	61	33.33	28.58
32	56	26.25	35.85
18	52	33.32	31
25	42	76.54	39.88
23	49	41.4	34.13
13	59	37.08	34.06
37	50	36.45	33.88
43	56	53.55	33.98
11	50	33.56	40.25
36	50	39.11	37.55
46	54	27.38	55.05
22	49	26.19	31.51
38	46	31.7	38.71
18	45	58.94	36.66
12	51	38.73	42.1
32	46	44.19	34.46
35	44	30.03	37.44
22	45	69.43	36.49
26	59	60.05	32.16
9	62	36.82	62.84
12	50	35.21	37
18	52	36.13	44.61
31	44	33.24	31.69
38	45	26.84	41.52
19	46	66.73	28.98
18	46	34.37	30.71
18	53	24.22	28.93
28	42	22.24	27.7
13	52	26.45	34.98
20	57	28.09	32.34
32	45	23.8	43.7
26	55	70	32.37
9	46	55.17	40.94
11	56	35.87	43.92
19	49	39.13	31.9
17	65	26.49	29.84
10	40	25.6	38.58
11	49	39.8	47.28
29	48	32.43	36
43	43	22.28	39.84
12	43	44.19	36.38
18	52	41.51	36.06
